OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OD.D.MTH2GBP.104.IP,CF.D.GBPUSD.DEC.IP,10000,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.103.IP,CF.D.GBPUSD.DEC.IP,10000,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.102.IP,CF.D.GBPUSD.DEC.IP,10100,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.101.IP,CF.D.GBPUSD.DEC.IP,10100,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.100.IP,CF.D.GBPUSD.DEC.IP,10200,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.99.IP,CF.D.GBPUSD.DEC.IP,10200,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.98.IP,CF.D.GBPUSD.DEC.IP,10300,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.97.IP,CF.D.GBPUSD.DEC.IP,10300,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.96.IP,CF.D.GBPUSD.DEC.IP,10400,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.95.IP,CF.D.GBPUSD.DEC.IP,10400,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.94.IP,CF.D.GBPUSD.DEC.IP,10500,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.93.IP,CF.D.GBPUSD.DEC.IP,10500,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.92.IP,CF.D.GBPUSD.DEC.IP,10600,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.91.IP,CF.D.GBPUSD.DEC.IP,10600,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.90.IP,CF.D.GBPUSD.DEC.IP,10700,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.89.IP,CF.D.GBPUSD.DEC.IP,10700,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.88.IP,CF.D.GBPUSD.DEC.IP,10800,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.87.IP,CF.D.GBPUSD.DEC.IP,10800,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.86.IP,CF.D.GBPUSD.DEC.IP,10900,2017-12-20,CALL,0,0.0131056
