OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OD.D.MTHGBP.108.IP,CF.D.GBPUSD.SEP.IP,10000,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.107.IP,CF.D.GBPUSD.SEP.IP,10000,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.106.IP,CF.D.GBPUSD.SEP.IP,10100,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.105.IP,CF.D.GBPUSD.SEP.IP,10100,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.104.IP,CF.D.GBPUSD.SEP.IP,10200,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.103.IP,CF.D.GBPUSD.SEP.IP,10200,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.102.IP,CF.D.GBPUSD.SEP.IP,10300,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.101.IP,CF.D.GBPUSD.SEP.IP,10300,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.100.IP,CF.D.GBPUSD.SEP.IP,10400,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.99.IP,CF.D.GBPUSD.SEP.IP,10400,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.98.IP,CF.D.GBPUSD.SEP.IP,10500,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.97.IP,CF.D.GBPUSD.SEP.IP,10500,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.96.IP,CF.D.GBPUSD.SEP.IP,10600,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.95.IP,CF.D.GBPUSD.SEP.IP,10600,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.94.IP,CF.D.GBPUSD.SEP.IP,10700,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.93.IP,CF.D.GBPUSD.SEP.IP,10700,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.92.IP,CF.D.GBPUSD.SEP.IP,10800,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.91.IP,CF.D.GBPUSD.SEP.IP,10800,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.90.IP,CF.D.GBPUSD.SEP.IP,10900,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.89.IP,CF.D.GBPUSD.SEP.IP,10900,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.88.IP,CF.D.GBPUSD.SEP.IP,11000,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.87.IP,CF.D.GBPUSD.SEP.IP,11000,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.86.IP,CF.D.GBPUSD.SEP.IP,11100,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.85.IP,CF.D.GBPUSD.SEP.IP,11100,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.84.IP,CF.D.GBPUSD.SEP.IP,11200,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.83.IP,CF.D.GBPUSD.SEP.IP,11200,2017-09-20,PUT,0,0.00331
