OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OP.D.FTSE2.4000C.IP,IX.D.FTSE.MONTH3.IP,4000.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4000P.IP,IX.D.FTSE.MONTH3.IP,4000.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4025C.IP,IX.D.FTSE.MONTH3.IP,4025.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4025P.IP,IX.D.FTSE.MONTH3.IP,4025.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4050C.IP,IX.D.FTSE.MONTH3.IP,4050.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4050P.IP,IX.D.FTSE.MONTH3.IP,4050.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4075C.IP,IX.D.FTSE.MONTH3.IP,4075.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4075P.IP,IX.D.FTSE.MONTH3.IP,4075.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4100C.IP,IX.D.FTSE.MONTH3.IP,4100.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4100P.IP,IX.D.FTSE.MONTH3.IP,4100.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4125C.IP,IX.D.FTSE.MONTH3.IP,4125.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4125P.IP,IX.D.FTSE.MONTH3.IP,4125.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4150C.IP,IX.D.FTSE.MONTH3.IP,4150.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4150P.IP,IX.D.FTSE.MONTH3.IP,4150.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4175C.IP,IX.D.FTSE.MONTH3.IP,4175.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4175P.IP,IX.D.FTSE.MONTH3.IP,4175.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4200C.IP,IX.D.FTSE.MONTH3.IP,4200.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4200P.IP,IX.D.FTSE.MONTH3.IP,4200.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4225C.IP,IX.D.FTSE.MONTH3.IP,4225.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4225P.IP,IX.D.FTSE.MONTH3.IP,4225.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4250C.IP,IX.D.FTSE.MONTH3.IP,4250.0,2017-09-15,CALL,0.0,0.331
